tweet_id,favorites,retweets,timestamp
832397543355072512,12115,2248,Fri Feb 17 01:13:34 +0000 2017
832369877331693569,17415,3241,Thu Feb 16 23:23:38 +0000 2017
832273440279240704,11505,2369,Thu Feb 16 17:00:25 +0000 2017
832215909146226688,0,6302,Thu Feb 16 13:11:49 +0000 2017
832215726631055365,0,9499,Thu Feb 16 13:11:05 +0000 2017
832088576586297345,64,2,Thu Feb 16 04:45:50 +0000 2017
832040443403784192,0,9780,Thu Feb 16 01:34:34 +0000 2017
832032802820481025,18137,4740,Thu Feb 16 01:04:13 +0000 2017
831939777352105988,24330,6243,Wed Feb 15 18:54:34 +0000 2017
831926988323639298,342,34,Wed Feb 15 18:03:45 +0000 2017
831911600680497154,28028,6609,Wed Feb 15 17:02:36 +0000 2017
831670449226514432,10601,1853,Wed Feb 15 01:04:21 +0000 2017
831650051525054464,7264,1966,Tue Feb 14 23:43:18 +0000 2017
831552930092285952,9118,2344,Tue Feb 14 17:17:22 +0000 2017
831322785565769729,9401,1579,Tue Feb 14 02:02:51 +0000 2017
831315979191906304,6648,1142,Tue Feb 14 01:35:49 +0000 2017
831309418084069378,11922,2496,Tue Feb 14 01:09:44 +0000 2017
831262627380748289,12083,2082,Mon Feb 13 22:03:49 +0000 2017
830956169170665475,8095,1521,Mon Feb 13 01:46:03 +0000 2017
830583320585068544,67925,17090,Sun Feb 12 01:04:29 +0000 2017
830173239259324417,0,5803,Fri Feb 10 21:54:58 +0000 2017
830097400375152640,9985,3006,Fri Feb 10 16:53:37 +0000 2017
829878982036299777,0,5119,Fri Feb 10 02:25:42 +0000 2017
829861396166877184,12417,1984,Fri Feb 10 01:15:49 +0000 2017
829501995190984704,32266,10805,Thu Feb 09 01:27:41 +0000 2017
829449946868879360,10629,2065,Wed Feb 08 22:00:52 +0000 2017
829141528400556032,24835,7500,Wed Feb 08 01:35:19 +0000 2017
829011960981237760,53971,16581,Tue Feb 07 17:00:28 +0000 2017
828801551087042563,0,3476,Tue Feb 07 03:04:22 +0000 2017
828770345708580865,25992,5979,Tue Feb 07 01:00:22 +0000 2017
828708714936930305,37163,11416,Mon Feb 06 20:55:28 +0000 2017
828650029636317184,9673,1379,Mon Feb 06 17:02:17 +0000 2017
828409743546925057,6450,1184,Mon Feb 06 01:07:28 +0000 2017
828408677031882754,7799,1313,Mon Feb 06 01:03:14 +0000 2017
828381636999917570,12797,2255,Sun Feb 05 23:15:47 +0000 2017
828376505180889089,7508,1090,Sun Feb 05 22:55:23 +0000 2017
828372645993398273,12772,2996,Sun Feb 05 22:40:03 +0000 2017
828361771580813312,2233,174,Sun Feb 05 21:56:51 +0000 2017
828046555563323392,11978,2929,Sun Feb 05 01:04:17 +0000 2017
828011680017821696,10522,2192,Sat Feb 04 22:45:42 +0000 2017
827933404142436356,20448,5349,Sat Feb 04 17:34:40 +0000 2017
827653905312006145,15746,3077,Fri Feb 03 23:04:02 +0000 2017
827600520311402496,7560,960,Fri Feb 03 19:31:54 +0000 2017
827324948884643840,16148,3117,Fri Feb 03 01:16:53 +0000 2017
827199976799354881,10756,2275,Thu Feb 02 17:00:17 +0000 2017
826958653328592898,21959,5119,Thu Feb 02 01:01:21 +0000 2017
826848821049180160,37049,10385,Wed Feb 01 17:44:55 +0000 2017
826615380357632002,0,4070,Wed Feb 01 02:17:19 +0000 2017
826598799820865537,5206,257,Wed Feb 01 01:11:25 +0000 2017
826598365270007810,10224,2396,Wed Feb 01 01:09:42 +0000 2017
